# Accelerometer Data File
# Started @Fri Apr 23 12:35:32 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
4.57 6.241 6.007 0
4.668 6.112 6.076 9
4.766 5.983 6.145 10
4.927 5.719 6.157 10
5.07 5.523 6.232 10
5.181 5.382 6.277 11
5.331 4.987 6.303 19
5.415 4.654 6.368 10
5.511 4.453 6.265 10
5.607 4.252 6.162 10
5.2 4.177 6.186 20
4.793 4.103 6.21 10
4.074 3.83 6.54 10
3.356 3.557 6.871 10
2.913 3.421 7.225 10
2.197 3.071 7.556 10
1.738 2.868 7.663 10
1.295 2.403 7.843 11
1.429 1.893 7.872 9
1.836 1.596 7.924 10
2.499 1.376 7.716 10
3.145 1.417 7.436 10
3.572 1.498 7.117 10
4.237 1.561 6.833 10
4.647 1.546 6.809 10
5.327 1.486 6.845 10
5.837 1.422 6.938 10
6.083 1.321 7.139 10
6.236 1.28 7.402 11
6.119 1.285 7.606 10
6.062 1.458 7.91 10
5.978 1.731 8.101 10
5.987 1.944 8.231 10
5.901 2.231 8.508 10
5.755 2.351 8.686 10
5.738 2.655 8.7 10
5.868 3.114 8.576 10
6.093 3.5 8.303 10
6.086 4.05 7.934 10
5.999 4.371 7.699 10
5.59 4.642 7.46 10
5.214 5.133 7.184 20
4.922 5.707 7.01 10
4.209 6.363 6.955 10
3.672 6.914 7.043 10
2.808 7.338 7.237 10
2.092 7.513 7.426 10
1.745 7.721 7.433 10
1.429 7.941 7.407 10
1.407 8.068 7.311 10
1.256 8.116 7.177 10
1.158 8.049 7.105 10
0.837 7.999 7.038 10
0.476 8.044 7.022 10
0.244 8.169 7.043 10
0.009 8.389 7.034 10
0.016 8.626 7.007 20
0.057 8.793 6.89 10
0.098 8.961 6.773 10
0.215 9.064 6.605 10
0.328 9.023 6.406 10
0.447 8.956 6.248 10
0.703 8.786 6.042 10
0.885 8.585 5.918 10
1.134 8.499 5.844 10
1.414 8.418 5.801 10
1.558 8.439 5.805 10
1.723 8.415 5.813 9
1.776 8.353 5.913 11
1.798 8.286 5.983 10
1.857 8.073 6.157 9
1.896 7.905 6.33 11
1.97 7.606 6.347 10
2.133 7.225 6.256 9
2.257 6.991 6.059 11
2.439 6.701 5.851 10
2.585 6.564 5.731 10
2.578 6.428 5.767 10
2.547 6.26 5.884 10
2.523 6.129 6.026 20
2.523 5.901 6.157 10
2.588 5.755 6.241 10
2.638 5.588 6.222 10
2.624 5.439 6.191 10
2.549 5.382 6.196 10
2.365 5.329 6.315 10
2.219 5.329 6.457 10
1.965 5.322 6.66 10
1.747 5.319 6.837 10
1.549 5.272 6.842 9
1.285 5.173 6.761 11
1.13 5.082 6.617 10
1.072 5.183 6.698 9
1.01 5.317 6.622 11
1.012 5.501 6.631 10
0.964 5.547 6.629 10
0.818 5.401 6.402 10
0.756 5.336 6.332 9
0.711 5.355 6.308 11
0.715 5.513 6.296 10
0.656 5.686 6.368 10
0.608 5.784 6.497 10
0.45 5.863 6.512 10
0.213 6.081 6.543 10
0.04 6.284 6.49 10
-0.251 6.617 6.526 10
-0.454 6.971 6.679 13
-0.579 7.187 6.816 7
-0.61 7.457 7.0 13
-0.521 7.599 7.096 7
-0.371 7.651 7.12 10
-0.184 7.697 7.163 10
-0.09 7.687 7.158 9
0.081 7.618 7.149 11
0.196 7.551 7.163 10
0.383 7.429 7.122 10
0.632 7.266 7.105 10
0.802 7.163 7.094 10
1.01 6.947 7.141 10
1.11 6.794 7.225 10
1.182 6.54 7.331 10
1.266 6.198 7.414 10
1.312 5.968 7.438 10
1.376 5.691 7.455 10
1.379 5.446 7.381 10
1.369 5.291 7.328 10
1.357 5.159 7.256 10
1.326 5.075 7.192 10
1.323 5.219 7.168 10
1.335 5.437 7.096 9
1.35 5.631 7.043 11
1.355 5.899 6.936 10
1.359 6.047 6.833 10
1.323 6.162 6.763 10
