# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
5.415 7.345 2.250 0.000
5.408 7.335 2.250 10.000
5.422 7.347 2.226 20.000
5.379 7.323 2.238 9.000
5.439 7.326 2.269 10.000
5.489 7.326 2.188 10.000
5.501 7.335 2.102 10.000
5.374 7.311 2.042 10.000
5.295 7.295 2.044 10.000
5.233 7.268 2.145 10.000
5.233 7.213 2.226 10.000
5.269 7.292 2.291 20.000
5.384 7.400 2.312 10.000
5.499 7.508 2.334 10.000
5.480 7.582 2.375 10.000
5.516 7.522 2.513 10.000
5.425 7.426 2.633 10.000
5.583 7.319 2.557 10.000
5.813 7.273 2.480 10.000
6.078 7.297 2.363 11.000
6.102 7.352 2.427 19.000
5.832 7.448 2.655 10.000
5.726 7.477 2.743 20.000
5.513 7.426 2.715 10.000
5.542 7.345 2.504 10.000
5.556 7.343 2.339 10.000
5.343 7.474 2.353 11.000
5.221 7.649 2.406 10.000
5.104 7.623 2.633 10.000
5.046 7.489 2.849 9.000
4.932 7.110 3.093 10.000
5.092 6.792 3.236 11.000
5.248 6.675 3.205 9.000
5.300 6.311 3.179 11.000
4.757 5.600 3.098 20.000
3.790 4.776 3.428 10.000
3.193 4.484 3.624 20.000
2.791 5.133 3.687 10.000
3.105 6.306 3.734 10.000
3.275 7.711 3.576 10.000
3.074 8.585 3.552 10.000
2.817 8.743 3.665 10.000
2.870 9.030 3.562 9.000
3.215 9.138 3.354 11.000
3.780 9.363 2.829 10.000
4.309 9.610 2.298 10.000
4.352 9.689 1.980 10.000
4.244 9.706 1.843 20.000
3.679 9.514 2.207 10.000
3.016 9.246 2.877 10.000
2.530 9.016 3.550 10.000
2.382 8.784 4.118 10.000
2.470 8.643 4.501 10.000
3.083 8.561 4.434 10.000
3.833 8.501 4.510 20.000
4.302 8.396 4.917 10.000
4.771 8.291 5.324 10.000
4.747 8.015 5.918 10.000
4.659 7.661 6.253 10.000
4.663 7.417 6.181 10.000
4.556 7.153 6.258 10.000
4.426 6.926 6.897 10.000
4.225 6.756 7.651 10.000
4.187 6.275 8.942 10.000
4.261 5.813 10.084 10.000
4.721 5.257 10.251 10.000
3.921 4.129 10.788 10.000
2.959 3.313 10.788 10.000
1.723 2.296 10.599 10.000
0.191 1.522 10.778 10.000
0.076 1.271 10.541 10.000
0.165 0.845 10.366 10.000
0.526 0.620 10.381 10.000
1.338 0.189 10.359 10.000
2.339 -0.421 10.050 10.000
3.136 -0.857 9.679 10.000
4.232 -1.467 8.947 10.000
4.879 -1.872 8.250 10.000
5.355 -2.111 7.618 10.000
5.743 -2.334 6.868 10.000
5.832 -2.382 6.481 10.000
5.841 -2.276 6.265 10.000
5.674 -2.106 6.320 10.000
5.525 -1.750 6.725 10.000
5.140 -1.237 7.199 10.000
4.833 -0.878 7.501 10.000
4.491 -0.533 7.888 10.000
4.086 -0.502 8.051 10.000
3.919 -0.627 8.145 10.000
3.756 -0.763 8.212 10.000
3.629 -0.885 8.192 10.000
3.435 -0.852 8.379 10.000
3.050 -0.708 8.784 10.000
2.659 -0.553 9.215 10.000
2.145 -0.363 9.698 10.000
1.829 -0.220 9.969 10.000
1.651 -0.213 9.883 10.000
1.527 -0.210 9.581 10.000
1.527 -0.241 9.227 10.000
1.606 -0.229 8.729 10.000
1.711 -0.169 8.406 10.000
1.764 -0.105 8.298 10.000
1.709 -0.045 8.104 10.000
1.575 -0.028 8.054 10.000
1.331 -0.215 8.070 10.000
0.998 -0.600 8.202 10.000
0.773 -0.981 8.420 10.000
0.706 -1.400 8.525 20.000
1.067 -1.522 8.451 10.000
1.510 -1.367 8.073 10.000
1.953 -1.211 7.694 10.000
2.128 -1.003 7.431 10.000
2.164 -0.881 7.249 10.000
2.207 -0.837 7.256 10.000
2.260 -0.785 7.232 10.000
2.422 -0.746 7.206 10.000
2.343 -0.660 7.189 10.000
2.126 -0.447 7.378 10.000
1.898 -0.244 7.599 10.000
1.685 0.071 7.819 10.000
1.450 0.220 8.082 20.000
1.321 0.138 8.255 10.000
1.192 0.057 8.427 10.000
0.995 -0.122 8.719 10.000
0.909 -0.210 8.954 10.000
0.988 -0.134 9.097 10.000
1.091 -0.064 9.236 10.000
1.247 -0.009 9.255 10.000
1.462 0.043 9.306 10.000
1.587 0.028 9.344 10.000
1.687 0.021 9.387 10.000
1.766 0.028 9.478 10.000
1.786 0.038 9.538 10.000
1.750 0.088 9.622 10.000
1.618 0.162 9.694 10.000
1.508 0.222 9.718 10.000
1.405 0.347 9.787 10.000
1.316 0.435 9.821 10.000
1.295 0.572 9.864 10.000
1.264 0.842 9.902 10.000
1.225 1.048 9.895 10.000
1.077 1.309 9.907 10.000
0.909 1.393 9.988 10.000
0.751 1.343 10.074 10.000
0.598 1.242 10.139 10.000
0.555 1.086 10.184 10.000
0.531 1.065 10.194 10.000
0.407 1.101 10.204 10.000
0.277 1.187 10.235 10.000
0.040 1.268 10.220 10.000
-0.167 1.321 10.175 10.000
-0.316 1.319 10.029 10.000
-0.524 1.264 9.794 10.000
-0.624 1.213 9.605 10.000
-0.830 1.060 9.382 10.000
-1.079 0.883 9.275 10.000
-1.268 0.758 9.255 10.000
-1.544 0.577 9.363 10.000
-1.714 0.497 9.504 10.000
-1.869 0.392 9.730 10.000
-2.037 0.253 9.979 10.000
-2.118 0.172 10.101 10.000
-2.181 0.019 10.194 10.000
-2.173 -0.086 10.189 10.000
-2.173 -0.229 10.160 10.000
-2.229 -0.385 10.151 10.000
-2.303 -0.469 10.170 10.000
-2.422 -0.517 10.201 10.000
-2.568 -0.536 10.175 10.000
-2.659 -0.543 10.129 10.000
-2.719 -0.646 9.974 10.000
-2.734 -0.785 9.806 10.000
-2.765 -0.984 9.643 10.000
-2.837 -1.264 9.425 10.000
-2.940 -1.448 9.318 10.000
-3.009 -1.683 9.160 10.000
-3.016 -1.814 9.054 10.000
-2.975 -1.905 8.896 10.000
-2.880 -2.020 8.635 10.000
-2.817 -2.085 8.425 10.000
-2.693 -2.147 8.197 10.000
-2.647 -2.133 8.109 10.000
-2.657 -2.094 8.123 10.000
-2.741 -2.003 8.133 10.000
-2.887 -1.915 8.159 10.000
-2.923 -1.860 8.121 10.000
-2.954 -1.836 8.070 10.000
-2.911 -1.865 8.025 10.000
-2.990 -1.903 7.936 10.000
-3.107 -1.944 7.881 10.000
-3.110 -1.927 7.742 10.000
-2.899 -1.886 7.551 10.000
-2.566 -1.836 7.402 10.000
-2.178 -1.774 7.343 10.000
-2.176 -1.671 7.580 10.000
-2.387 -1.592 7.869 10.000
-2.676 -1.407 8.312 10.000
-3.021 -1.235 8.667 10.000
-2.997 -1.170 8.937 10.000
-2.827 -1.211 9.265 10.000
-2.578 -1.357 9.440 10.000
-2.221 -1.539 9.698 9.000
-1.968 -1.680 9.840 11.000
-1.819 -1.630 10.036 10.000
-1.529 -1.513 10.283 10.000
-1.347 -1.359 10.445 10.000
-1.165 -1.206 10.613 10.000
-1.000 -1.304 10.594 10.000
-0.976 -1.470 10.524 10.000
-0.804 -1.821 10.491 10.000
-0.632 -2.173 10.453 10.000
-0.493 -2.430 10.623 10.000
-0.488 -2.662 10.814 10.000
-0.632 -2.707 10.970 10.000
-0.902 -2.786 11.094 10.000
-1.163 -2.796 11.085 10.000
-1.340 -2.693 11.125 10.000
-1.551 -2.475 11.243 10.000
-1.635 -2.224 11.391 10.000
-1.814 -1.857 11.583 10.000
-1.944 -1.628 11.702 10.000
-2.109 -1.414 11.722 10.000
-2.410 -1.290 11.693 10.000
-2.616 -1.280 11.621 10.000
-2.782 -1.259 11.434 10.000
-2.865 -1.350 11.331 10.000
-2.813 -1.352 11.276 10.000
-2.829 -1.505 11.343 10.000
-2.887 -1.671 11.525 10.000
-3.019 -1.941 11.705 10.000
-2.971 -2.236 11.832 10.000
-2.853 -2.379 11.836 10.000
-2.669 -2.422 11.822 10.000
-2.422 -2.346 11.750 10.000
-2.327 -2.171 11.748 10.000
-2.099 -2.099 11.640 10.000
-1.939 -2.128 11.552 10.000
