# Accelerometer Data File
# Started @Fri Apr 23 12:27:11 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
3.526 7.635 3.653 0
3.521 7.678 4.062 29
3.722 7.661 4.094 19
3.924 7.644 4.125 2
4.125 7.637 3.991 9
4.132 7.46 3.485 10
4.017 7.481 3.763 10
3.952 7.606 4.091 10
3.962 7.73 4.424 11
4.007 7.833 4.68 9
4.094 7.915 4.654 10
4.113 7.654 4.431 10
4.225 7.45 4.254 16
4.302 7.268 4.153 5
4.371 7.29 4.108 9
4.458 7.551 4.209 10
4.309 7.706 4.302 10
4.106 7.651 4.237 10
3.909 7.393 4.118 10
3.773 7.232 4.029 10
3.816 7.261 4.036 10
3.914 7.501 4.201 10
3.983 7.745 4.434 21
3.885 7.8 4.331 9
3.61 7.728 4.012 10
3.335 7.656 3.694 10
3.11 7.716 3.715 10
2.992 7.867 4.041 10
3.232 7.912 4.589 10
3.675 7.86 5.013 10
4.096 7.671 5.03 10
4.472 7.386 4.671 14
4.46 7.249 4.319 6
4.244 7.211 4.091 10
3.933 7.323 4.153 10
3.667 7.532 4.592 10
3.497 7.56 4.187 63
3.342 7.721 4.074 8
3.282 7.73 3.672 9
3.246 7.735 3.679 10
3.284 7.862 4.381 10
3.552 7.704 4.69 10
4.039 7.575 4.941 11
4.501 7.45 4.783 9
4.96 7.417 4.671 10
5.02 7.627 4.668 10
4.809 7.831 4.695 19
4.599 8.034 4.721 1
4.39 8.147 4.702 10
4.268 8.003 4.448 10
4.101 7.46 3.926 10
3.933 6.916 3.404 10
3.751 6.56 2.942 10
3.639 6.368 2.705 10
3.624 7.036 3.016 10
3.667 7.766 3.562 10
3.701 8.293 4.175 20
3.778 8.765 4.817 10
3.854 8.755 5.207 10
3.933 8.698 5.214 10
4.036 8.657 5.094 10
4.077 8.647 4.805 11
4.019 8.518 4.393 9
3.902 8.374 4.129 10
3.701 7.982 3.66 10
3.519 7.613 3.332 10
3.253 7.067 3.043 14
1.886 6.086 3.447 6
0.603 5.353 4.058 10
-1.403 4.28 5.264 10
-2.695 3.785 5.995 10
-2.887 3.725 6.03 11
-2.458 4.843 5.02 9
-1.307 6.301 3.414 10
-0.825 8.463 2.257 10
-0.397 10.309 1.467 10
-0.588 10.977 1.723 17
-0.363 10.824 2.233 3
0.0 9.686 2.853 10
1.058 8.832 3.414 10
2.466 8.066 4.213 10
3.457 8.121 4.759 11
4.733 8.092 5.372 9
5.482 8.013 5.679 10
5.882 7.845 5.746 10
6.256 7.565 5.963 10
6.344 7.369 6.114 16
6.27 7.141 6.442 4
6.177 6.845 6.754 10
6.11 6.66 6.914 10
5.872 6.394 7.098 11
5.683 6.244 7.105 9
5.334 6.064 7.173 10
4.817 5.784 7.307 10
4.469 5.585 7.417 10
4.089 5.303 7.472 10
3.866 5.02 7.402 18
3.811 4.838 7.266 2
3.699 4.572 7.184 11
3.62 4.39 7.158 9
3.445 4.24 7.216 10
