# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
6.234 5.657 3.998 0.000
6.088 5.729 4.113 9.000
5.951 5.779 4.201 10.000
5.990 5.597 4.264 10.000
5.724 5.406 4.867 10.000
5.518 5.260 5.700 10.000
4.872 5.092 6.447 10.000
4.050 5.157 7.220 10.000
3.818 5.453 6.876 10.000
3.919 5.801 6.411 10.000
4.460 6.169 6.033 10.000
5.164 6.311 5.540 10.000
5.659 6.133 5.305 10.000
5.731 5.820 5.236 10.000
5.700 5.585 5.264 10.000
5.506 5.578 5.408 11.000
5.312 5.614 5.537 9.000
5.252 5.710 5.619 10.000
5.295 5.726 5.602 11.000
5.394 5.710 5.533 9.000
5.492 5.650 5.477 10.000
5.559 5.623 5.398 10.000
5.571 5.614 5.310 10.000
5.528 5.638 5.274 11.000
5.489 5.614 5.240 9.000
5.427 5.521 5.226 11.000
5.420 5.410 5.221 10.000
5.427 5.262 5.288 10.000
5.430 5.161 5.353 10.000
5.525 5.190 5.571 10.000
5.602 5.245 5.772 9.000
5.664 5.339 5.901 10.000
5.691 5.389 6.047 10.000
5.635 5.372 6.047 10.000
5.523 5.327 6.112 10.000
5.351 5.310 6.212 11.000
5.214 5.336 6.296 9.000
5.063 5.339 6.488 10.000
4.989 5.343 6.631 11.000
4.939 5.243 6.904 9.000
4.960 5.135 7.225 10.000
4.996 5.051 7.438 10.000
