# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
3.881 7.340 4.491 0.000
3.785 7.445 4.522 9.000
3.761 7.501 4.474 10.000
3.713 7.599 4.410 11.000
3.811 7.886 4.323 10.000
3.651 7.893 4.182 9.000
3.497 7.783 4.175 10.000
3.354 7.551 4.314 11.000
3.438 7.352 4.362 9.000
3.921 7.316 4.553 10.000
4.398 7.398 4.611 10.000
5.025 7.400 4.924 10.000
5.023 7.153 4.927 20.000
4.546 6.940 4.635 10.000
4.070 6.727 4.343 10.000
3.399 6.734 3.763 11.000
3.131 6.957 3.586 10.000
3.208 7.180 3.564 10.000
3.435 7.465 3.722 10.000
3.706 7.608 3.912 10.000
3.960 7.613 4.139 10.000
4.043 7.546 4.297 10.000
3.976 7.417 4.276 10.000
3.746 7.534 4.292 10.000
3.533 7.790 4.271 10.000
3.421 8.039 4.247 10.000
3.438 7.975 4.213 10.000
3.617 7.663 4.141 10.000
3.885 7.417 4.216 10.000
4.103 7.168 4.352 10.000
4.225 7.486 4.326 10.000
4.357 7.668 4.173 10.000
4.400 7.785 3.873 10.000
4.424 7.649 3.739 10.000
4.381 7.333 3.806 10.000
4.328 7.153 4.000 10.000
4.129 7.273 3.907 10.000
3.950 7.647 3.648 10.000
3.775 8.006 3.450 10.000
3.648 8.171 3.524 10.000
3.667 8.037 3.885 10.000
3.859 7.795 4.340 10.000
4.079 7.493 4.707 10.000
4.450 7.465 4.786 10.000
4.721 7.690 4.608 10.000
4.819 8.022 4.338 10.000
4.714 8.415 3.986 10.000
4.249 8.588 3.778 10.000
3.885 8.506 3.825 10.000
3.531 8.372 4.204 10.000
3.380 8.178 4.663 10.000
3.505 8.171 5.087 10.000
3.840 8.161 5.355 10.000
4.165 8.204 5.293 10.000
4.666 8.353 4.869 10.000
5.051 8.456 4.352 10.000
4.738 8.494 3.524 10.000
3.569 8.444 2.164 10.000
2.226 8.288 1.165 10.000
-0.023 8.825 0.215 10.000
-1.786 9.428 -0.268 10.000
-3.071 10.737 1.357 10.000
-3.742 11.729 3.368 10.000
-3.505 12.028 5.331 10.000
-2.221 11.856 7.012 10.000
0.158 10.718 7.254 10.000
1.922 9.900 7.110 10.000
3.816 8.678 6.957 10.000
4.663 7.929 7.086 10.000
4.718 7.405 7.316 10.000
4.625 6.754 7.888 10.000
4.402 6.505 8.470 10.000
4.165 6.064 8.868 10.000
4.003 5.746 9.026 10.000
3.904 5.312 8.554 10.000
3.730 4.742 8.054 10.000
3.569 4.364 7.738 10.000
3.366 3.983 7.422 10.000
3.038 3.835 7.498 10.000
2.786 3.823 7.603 10.000
2.391 3.773 7.891 10.000
2.039 3.725 8.178 10.000
1.814 3.687 8.317 10.000
1.410 3.545 8.475 10.000
1.149 3.442 8.451 10.000
0.852 3.145 8.647 10.000
0.636 2.849 8.887 10.000
0.497 2.535 9.220 10.000
0.469 2.185 9.701 10.000
0.476 2.030 9.962 10.000
0.519 1.781 10.120 10.000
0.696 1.479 10.237 10.000
0.763 1.213 10.206 10.000
0.727 0.845 10.407 10.000
0.656 0.569 10.711 10.000
0.588 0.486 10.905 10.000
0.517 0.423 10.896 10.000
0.548 0.464 10.654 10.000
0.474 0.483 10.304 10.000
0.363 0.483 9.993 10.000
0.268 0.517 9.792 10.000
0.316 0.596 9.572 20.000
0.533 0.694 9.358 10.000
0.854 0.799 8.978 10.000
1.165 0.849 8.690 10.000
1.477 0.859 8.262 10.000
1.723 0.871 7.934 10.000
1.903 0.967 7.661 10.000
2.013 1.211 7.390 10.000
1.980 1.450 7.280 10.000
2.013 1.817 7.316 10.000
2.011 2.092 7.465 10.000
2.099 2.274 7.661 10.000
2.171 2.499 7.884 10.000
2.176 2.597 7.960 10.000
2.085 2.731 8.101 10.000
1.759 2.736 8.422 10.000
1.450 2.698 8.717 10.000
0.916 2.607 9.205 10.000
0.478 2.480 9.629 10.000
0.160 2.391 9.873 10.000
-0.124 2.243 10.240 10.000
-0.184 2.147 10.412 10.000
-0.265 1.975 10.663 10.000
-0.253 1.838 10.864 10.000
-0.347 1.685 10.879 10.000
-0.478 1.438 10.912 10.000
-0.588 1.268 10.867 10.000
-0.610 1.022 11.006 10.000
-0.481 0.909 10.845 10.000
-0.313 0.890 10.666 10.000
-0.347 0.586 10.307 10.000
-0.469 0.359 9.763 10.000
-0.897 0.023 9.653 10.000
-1.319 -0.158 9.519 10.000
-1.539 -0.055 9.564 10.000
-1.714 0.045 9.708 10.000
-1.661 0.196 9.782 10.000
-1.788 0.146 9.765 10.000
-1.043 0.495 9.485 10.000
-0.344 0.847 9.107 10.000
0.447 1.472 8.655 10.000
1.412 2.145 8.317 10.000
1.118 2.394 8.037 10.000
0.667 2.370 7.740 20.000
0.191 1.810 7.745 10.000
-0.272 1.376 7.699 10.000
-0.349 0.967 7.860 10.000
-0.430 1.012 8.336 10.000
-0.579 1.321 8.585 10.000
-0.859 1.331 9.136 10.000
-0.916 1.355 9.634 10.000
-0.814 1.197 9.832 10.000
-0.837 1.034 9.981 10.000
-0.742 1.043 9.878 10.000
-1.048 0.993 9.734 10.000
-1.419 0.885 9.531 10.000
-1.663 0.782 9.378 10.000
-1.900 0.806 9.006 10.000
-1.920 0.907 8.997 10.000
-1.874 1.065 9.047 10.000
-1.709 1.182 9.006 10.000
-1.551 1.173 9.184 10.000
-1.623 1.170 8.968 10.000
-1.697 1.228 8.908 10.000
-1.891 1.326 8.939 10.000
-2.276 1.323 9.030 10.000
-2.470 1.283 9.246 10.000
-2.561 1.115 9.227 10.000
-2.492 0.854 9.267 10.000
-2.231 0.694 9.248 10.000
-2.087 0.438 9.318 10.000
-2.080 0.131 9.603 10.000
-2.233 -0.081 9.828 10.000
-2.346 -0.378 10.223 10.000
-2.341 -0.579 10.529 10.000
-2.363 -0.737 10.749 10.000
