# Accelerometer Data File
# Started @Mon Apr 26 10:20:28 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
5.054 6.066 5.427 0
5.049 6.057 5.372 10
5.044 6.04 5.257 9
5.099 6.038 5.023 11
5.207 5.98 4.977 9
5.288 5.937 4.944 11
5.394 5.88 4.932 10
5.458 5.841 4.975 9
5.544 5.863 4.886 11
5.779 5.714 4.742 9
5.99 5.58 4.577 10
5.954 5.489 4.881 11
5.856 5.363 5.295 9
4.984 5.475 6.102 11
4.12 5.702 6.754 9
3.502 5.887 6.936 11
3.107 6.174 7.046 10
3.538 6.32 6.842 10
3.962 6.351 6.794 10
4.537 6.263 6.631 9
4.888 6.071 6.54 11
5.037 5.884 6.315 10
5.058 5.719 6.074 9
4.929 5.674 5.947 11
4.762 5.628 5.908 10
4.596 5.65 5.98 10
4.611 5.64 6.148 9
4.723 5.645 6.241 10
4.874 5.65 6.246 11
5.054 5.664 6.16 9
5.181 5.688 5.995 11
5.123 5.662 5.889 10
5.015 5.602 5.774 9
4.879 5.533 5.75 11
4.733 5.451 5.777 9
4.707 5.398 5.868 11
4.73 5.379 5.968 9
4.757 5.386 6.062 10
4.793 5.406 6.105 11
4.788 5.432 6.177 9
4.807 5.422 6.263 11
4.824 5.386 6.356 9
4.903 5.315 6.493 10
5.02 5.169 6.607 11
5.114 5.058 6.708 9
5.272 4.848 6.883 11
5.367 4.673 7.015 10
5.473 4.51 7.017 9
5.607 4.41 6.952 11
5.676 4.41 6.813 10
5.753 4.474 6.629 10
5.789 4.601 6.517 9
5.676 4.57 6.493 10
5.116 4.139 6.619 10
4.548 3.643 6.792 10
3.572 2.557 7.41 11
2.715 1.565 8.006 9
2.312 0.821 8.379 10
2.279 0.521 8.398 10
2.655 0.814 7.972 11
3.327 1.477 7.422 10
4.022 2.351 6.928 9
4.347 2.779 6.789 10
4.635 3.253 6.737 10
4.625 3.356 6.809 10
4.625 3.464 6.931 11
4.683 3.572 7.06 9
4.778 3.634 7.103 11
4.977 3.718 7.196 10
5.137 3.739 7.254 10
5.274 3.73 7.424 10
5.365 3.639 7.721 9
5.353 3.526 7.967 11
5.281 3.409 8.238 10
5.149 3.423 8.408 9
5.063 3.519 8.451 10
4.874 3.61 8.561 11
4.745 3.706 8.647 9
4.563 3.608 8.76 11
4.304 3.459 8.92 9
4.149 3.315 9.014 10
3.971 3.22 9.076 11
3.873 3.217 9.093 9
3.926 3.356 8.911 11
4.065 3.581 8.516 9
4.225 3.758 8.152 10
4.307 3.914 7.682 10
4.18 3.986 7.395 11
3.967 3.971 7.321 9
3.708 3.983 7.225 10
3.529 4.017 7.235 11
3.423 4.082 7.24 9
3.272 4.173 7.22 10
3.167 4.237 7.223 11
3.019 4.35 7.175 10
2.93 4.424 7.101 9
2.863 4.539 7.029 10
2.719 4.68 7.005 11
2.619 4.774 7.031 10
2.494 4.917 7.094 9
2.343 5.015 7.24 11
2.269 5.087 7.338 9
2.138 5.125 7.443 11
2.03 5.114 7.513 10
1.951 5.044 7.46 9
1.872 5.032 7.362 11
1.85 5.054 7.256 9
1.778 5.185 7.129 11
1.728 5.353 7.062 9
1.546 5.564 7.117 10
1.295 5.851 7.24 10
1.094 6.028 7.383 10
0.878 6.265 7.56 10
0.816 6.471 7.599 11
0.823 6.6 7.57 9
0.9 6.777 7.517 11
0.991 6.895 7.431 9
1.094 6.936 7.414 11
1.192 6.933 7.388 10
1.221 6.883 7.386 9
1.297 6.809 7.359 10
1.34 6.742 7.326 10
1.477 6.768 7.199 11
1.656 6.801 7.026 10
1.788 6.859 6.878 9
1.924 6.936 6.706 10
1.972 6.962 6.636 10
1.96 6.962 6.56 10
1.922 6.876 6.461 11
1.879 6.77 6.387 9
1.881 6.634 6.387 11
1.987 6.466 6.452 9
2.118 6.385 6.538 11
2.389 6.327 6.418 10
2.614 6.301 6.224 9
2.784 6.368 5.949 11
2.935 6.366 5.664 10
2.947 6.339 5.585 9
2.942 6.246 5.588 11
2.906 6.11 5.659 9
2.892 6.019 5.899 11
2.913 5.901 6.251 10
2.952 5.851 6.521 9
2.997 5.815 6.842 11
3.088 5.808 7.005 10
3.143 5.827 7.055 9
3.157 5.863 7.187 10
3.165 5.884 7.268 11
3.213 5.935 7.326 10
3.292 6.009 7.41 9
3.411 6.066 7.412 11
3.493 6.191 7.422 10
3.485 6.282 7.455 10
3.45 6.466 7.422 10
3.485 6.739 7.295 9
3.56 6.945 7.161 11
3.715 7.165 6.957 9
3.94 7.266 6.67 10
4.094 7.278 6.476 11
4.295 7.283 6.22 9
4.414 7.273 6.033 10
4.34 7.283 6.03 10
4.232 7.307 6.062 10
4.077 7.338 6.155 10
3.885 7.297 6.155 10
3.816 7.24 6.095 11
3.816 7.084 6.014 9
3.778 6.818 5.911 10
3.775 6.624 5.901 11
3.72 6.342 5.944 9
3.572 6.078 6.093 11
3.462 5.925 6.263 9
3.385 5.707 6.421 10
3.361 5.578 6.526 11
3.445 5.451 6.531 9
3.545 5.324 6.49 10
3.612 5.262 6.461 10
3.639 5.248 6.435 11
3.615 5.295 6.392 10
3.45 5.384 6.471 9
3.165 5.547 6.667 10
2.92 5.662 6.861 11
2.65 5.88 7.094 9
2.422 6.102 7.254 10
2.315 6.251 7.297 11
2.255 6.438 7.084 9
2.221 6.521 6.833 10
2.085 6.598 6.94 11
1.805 6.722 6.77 10
1.477 6.809 6.856 9
1.165 7.026 7.029 11
1.039 7.206 6.837 9
1.031 7.429 6.861 10
1.098 7.625 6.756 11
1.149 7.69 6.564 9
1.225 7.644 6.284 10
1.295 7.572 6.189 10
1.29 7.527 6.222 10
1.11 7.431 6.306 11
0.905 7.445 6.478 9
0.737 7.433 6.574 10
0.536 7.302 6.687 10
0.509 7.22 6.749 10
0.49 7.086 6.715 10
0.464 6.914 6.636 10
0.519 6.775 6.552 11
0.481 6.569 6.519 9
0.435 6.416 6.581 10
0.483 6.282 6.603 11
0.483 6.234 6.612 9
0.699 6.253 6.512 11
1.039 6.212 6.26 9
1.285 6.153 6.05 10
1.558 6.026 5.829 11
1.707 5.911 5.616 9
1.731 5.856 5.554 10
1.793 5.815 5.425 10
1.829 5.841 5.305 10
1.757 5.851 5.245 11
1.407 5.801 5.303 9
1.019 5.736 5.427 11
0.459 5.554 5.65 10
0.009 5.377 5.865 10
-0.275 5.145 6.016 10
-0.667 4.893 6.165 9
-0.888 4.759 6.215 11
-1.139 4.776 6.598 9
-1.4 4.967 6.813 10
-1.553 5.178 7.031 10
-1.716 5.449 7.309 11
-1.848 5.568 7.254 10
-1.821 5.731 7.331 10
-1.764 5.887 7.39 9
-1.697 5.983 7.39 11
-1.673 6.059 7.412 9
-1.685 6.033 7.417 10
-1.735 6.026 7.491 10
-1.874 5.987 7.563 10
-1.97 5.968 7.613 11
-2.166 5.882 7.762 9
-2.396 5.76 7.939 11
-2.537 5.669 8.118 9
-2.597 5.583 8.365 10
-2.557 5.564 8.513 11
-2.432 5.561 8.643 9
-2.296 5.564 8.674 11
-2.24 5.561 8.638 9
-2.226 5.461 8.645 10
-2.255 5.367 8.59 11
-2.489 5.221 8.616 9
-2.693 4.979 8.669 11
-2.856 4.836 8.678 10
-3.021 4.599 8.657 10
-3.284 4.283 8.64 11
-3.579 4.062 8.597 9
-3.993 3.794 8.781 10
-4.405 3.62 8.997 10
-4.642 3.531 9.339 10
-4.944 3.327 9.665 10
-5.125 3.172 9.763 10
-5.252 2.885 9.835 10
-5.262 2.638 9.792 10
-5.176 2.451 9.605 10
-5.003 2.31 9.457 11
-4.886 2.3 9.334 8
-4.721 2.408 9.162 10
-4.493 2.6 8.844 10
-4.352 2.746 8.487 10
-4.283 2.602 8.104 11
-4.261 2.341 7.771 9
-4.395 1.908 7.86 10
-4.683 1.563 7.982 11
-4.898 1.508 8.13 9
-5.137 1.697 8.384 11
-5.315 2.03 8.523 9
-5.348 2.387 8.674 11
-5.413 2.726 8.815 9
-5.453 2.822 8.851 11
