# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
5.190 5.791 5.837 0.000
5.327 5.748 5.810 30.000
5.389 5.786 5.762 9.000
5.394 5.834 5.755 10.000
5.310 5.853 5.753 11.000
5.257 5.750 5.777 9.000
5.281 5.573 5.719 10.000
5.363 5.386 5.621 10.000
5.463 5.298 5.492 10.000
5.473 5.250 5.489 11.000
5.406 5.276 5.568 9.000
5.310 5.339 5.863 10.000
5.190 5.415 6.205 10.000
5.291 5.482 6.220 10.000
5.382 5.518 6.153 11.000
5.501 5.518 5.870 9.000
5.504 5.501 5.681 10.000
5.377 5.453 5.693 10.000
5.300 5.377 5.774 10.000
5.324 5.145 5.755 11.000
5.465 4.929 5.643 10.000
5.645 4.491 5.628 9.000
6.030 3.742 5.559 10.000
6.315 3.148 5.590 10.000
6.217 2.647 5.664 11.000
6.081 2.370 5.640 10.000
5.169 2.624 6.459 10.000
4.276 3.083 7.606 10.000
3.766 3.450 8.710 10.000
3.825 3.945 9.871 10.000
4.414 4.280 10.256 10.000
5.317 4.474 10.450 10.000
6.141 4.426 10.393 10.000
6.394 4.249 10.278 10.000
6.411 3.545 10.079 10.000
5.691 1.826 10.000 10.000
5.049 0.349 10.172 10.000
4.721 -2.092 10.680 10.000
4.630 -4.007 11.271 10.000
5.750 -4.661 10.941 10.000
7.436 -4.220 9.574 10.000
8.808 -2.815 7.872 10.000
10.390 -0.677 5.815 10.000
11.166 1.149 4.424 10.000
11.202 1.826 4.240 10.000
10.979 2.085 4.185 10.000
10.546 1.611 4.484 10.000
9.878 1.060 4.793 10.000
8.868 0.739 5.166 10.000
8.116 0.837 5.410 10.000
6.763 1.043 5.990 10.000
5.645 1.326 6.560 10.000
4.596 1.572 7.041 10.000
3.177 2.015 7.618 10.000
2.358 2.351 7.860 10.000
1.321 2.947 7.979 10.000
0.732 3.404 7.953 10.000
0.404 3.969 7.639 10.000
0.083 4.802 7.070 10.000
-0.019 5.374 6.622 10.000
-0.088 6.093 6.038 10.000
-0.131 6.440 5.571 10.000
-0.181 6.519 5.360 10.000
-0.383 6.545 5.166 10.000
-0.617 6.426 5.109 10.000
-0.928 6.488 5.226 10.000
-1.450 6.708 5.413 10.000
-1.821 6.981 5.583 10.000
-2.372 7.390 5.810 10.000
-2.762 7.685 5.937 10.000
-2.959 7.814 6.026 10.000
-3.066 7.829 6.090 10.000
-2.995 7.706 6.098 10.000
-2.911 7.515 6.100 10.000
-2.839 7.264 6.114 10.000
-2.856 7.127 6.153 10.000
-2.877 6.945 6.277 10.000
-2.911 6.833 6.406 10.000
-2.904 6.787 6.569 10.000
-2.794 6.823 6.756 10.000
-2.679 6.904 6.856 10.000
-2.403 6.988 6.876 10.000
