# Accelerometer Data File
# Started @Mon Apr 26 10:16:58 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
4.955 6.265 5.03 0
5.027 6.397 5.104 10
5.068 6.464 5.152 9
5.109 6.399 5.142 10
5.085 6.193 5.152 10
5.114 6.045 5.171 11
5.183 5.872 5.355 10
5.252 5.832 5.597 9
5.465 5.748 5.736 10
5.688 5.585 5.901 10
5.87 5.446 5.901 10
6.071 5.264 6.023 11
6.1 5.142 6.172 9
6.119 5.025 6.268 10
6.054 4.946 6.186 11
5.971 4.91 5.983 10
5.59 5.03 6.121 10
4.778 4.367 6.969 9
4.05 3.665 7.994 10
4.003 2.715 8.54 10
4.252 1.608 8.743 10
4.824 1.869 8.394 11
5.458 1.764 8.511 9
5.413 1.908 9.107 10
5.458 1.575 9.358 10
5.612 0.732 9.481 10
5.676 -0.289 9.452 11
5.889 -1.326 9.461 9
6.011 -1.886 9.816 10
6.445 -1.915 9.694 10
6.991 -0.998 8.815 10
7.388 -0.067 7.898 11
7.807 1.046 6.742 9
7.915 1.628 6.062 10
7.915 1.915 5.731 10
7.797 2.353 5.336 10
7.659 2.609 5.181 11
7.35 3.033 5.058 9
7.062 3.351 5.027 10
6.658 3.701 5.19 10
5.99 4.295 5.379 10
5.492 4.721 5.535 11
4.714 5.408 5.758 9
3.801 6.078 5.923 11
3.153 6.505 6.062 9
2.042 7.022 6.356 10
1.211 7.278 6.584 11
0.416 7.448 6.737 9
-0.536 7.687 6.828 10
-1.027 7.836 6.763 10
-1.654 8.068 6.596 10
-1.948 8.221 6.43 11
-2.097 8.429 6.215 11
-2.023 8.702 5.832 9
-1.812 8.892 5.552 9
-1.477 9.085 5.154 11
-1.139 9.107 4.953 10
-1.024 9.064 4.92 9
-0.883 8.951 4.924 11
-0.866 8.834 5.046 9
-0.854 8.805 5.092 10
-0.787 8.906 5.109 11
-0.746 9.076 5.087 9
-0.603 9.248 5.046 10
-0.445 9.38 4.999 10
-0.225 9.255 4.865 10
0.035 8.937 4.685 11
0.193 8.616 4.525 10
0.301 8.212 4.393 9
0.232 7.975 4.505 10
0.122 7.931 4.663 11
0.0 7.891 4.841 10
-0.071 7.934 4.989 9
-0.086 7.85 4.927 11
-0.217 7.706 4.927 9
-0.337 7.56 4.908 10
-0.648 7.412 4.955 11
-0.957 7.35 5.085 9
-1.35 7.343 5.111 20
-1.742 7.335 5.137 10
-2.015 7.273 5.051 11
-2.317 7.273 4.857 9
-2.418 7.278 4.704 10
-2.513 7.34 4.522 10
-2.537 7.46 4.386 10
-2.576 7.582 4.378 11
-2.655 7.738 4.359 9
-2.738 7.836 4.369 10
-2.777 7.91 4.264 10
-2.772 7.92 4.137 10
-2.667 7.905 4.007 11
-2.542 7.843 4.019 9
-2.463 7.805 4.146 10
-2.358 7.733 4.242 10
-2.269 7.711 4.302 10
-2.061 7.644 4.041 20
-1.853 7.577 3.78 10
-1.692 7.56 3.473 21
-1.575 7.484 3.217 10
-1.793 7.496 3.239 9
-2.011 7.508 3.26 10
-2.31 7.46 3.347 11
-2.894 7.345 3.643 10
-3.282 7.235 3.842 10
-3.715 7.151 3.94 10
-4.046 7.11 4.05 10
-4.101 7.175 4.168 10
-4.101 7.335 4.101 10
-4.055 7.469 4.134 10
-3.794 7.704 4.046 10
-3.641 7.793 3.756 10
-3.543 7.785 3.651 10
-3.368 7.697 3.627 10
-3.409 7.508 3.725 10
-3.22 7.445 3.964 10
-3.179 7.436 4.271 10
-3.215 7.508 4.496 10
-3.349 7.663 4.797 10
-3.596 7.8 4.941 12
-3.794 7.74 5.269 7
-4.115 7.553 5.667 10
-4.338 7.283 5.987 10
-4.575 7.038 6.337 11
-4.776 6.88 6.402 20
-4.984 6.883 6.184 10
-5.193 6.885 5.966 9
-5.561 7.007 5.837 10
-5.822 6.916 5.93 11
-5.954 6.792 6.236 9
-6.042 6.208 6.66 10
-5.956 5.477 6.967 10
-5.858 4.795 7.079 10
-5.793 4.201 7.134 11
-5.772 4.067 7.072 9
-5.846 3.955 7.101 11
-6.035 3.981 7.436 9
-6.191 3.919 7.829 10
-6.332 3.782 8.183 11
-6.378 3.624 8.446 9
-6.325 3.562 8.264 10
-6.212 3.509 8.058 10
-6.114 3.531 7.891 10
-5.899 3.521 7.96 11
-5.722 3.5 8.173 9
-5.537 3.483 8.441 10
-5.226 3.493 8.614 10
-5.032 3.533 8.549 10
-4.697 3.584 8.367 10
-4.326 3.679 8.056 10
-4.082 3.749 7.841 10
-3.754 3.888 7.599 10
-3.567 4.017 7.474 10
-3.478 4.187 7.371 11
-3.392 4.489 7.18 9
-3.39 4.721 7.015 10
-3.457 5.061 6.787 10
-3.529 5.3 6.636 10
-3.636 5.279 6.545 11
-3.869 5.018 6.43 9
-4.031 4.649 6.378 10
-4.316 3.952 6.368 10
-4.733 3.21 6.399 10
-5.025 2.707 6.454 11
-5.482 2.264 6.6 9
-5.817 2.149 6.703 10
-6.002 2.355 6.809 10
-6.241 2.607 6.689 10
-6.315 2.798 6.478 10
-6.548 3.002 6.232 10
-6.761 3.059 5.971 10
-7.189 3.16 5.88 10
-7.975 3.335 5.779 10
-8.602 3.497 5.714 11
-9.5 3.586 5.741 9
-10.263 3.43 6.045 10
-10.67 3.201 6.358 10
-11.152 3.119 6.323 10
-11.362 3.112 6.196 11
-11.537 2.971 6.124 9
-11.841 2.882 5.88 11
-12.071 2.645 5.985 9
-11.951 2.482 5.911 10
-11.731 2.609 5.559 11
-11.149 2.487 5.276 9
-10.675 1.982 4.944 10
-10.551 1.403 4.79 10
-10.45 0.667 4.663 10
-10.632 0.138 4.635 11
-10.706 -0.007 4.656 9
-10.848 -0.122 4.831 10
-10.965 -0.081 4.979 10
-11.022 0.191 5.276 10
-11.08 0.644 5.518 11
-11.07 1.065 5.607 9
-11.089 1.367 5.595 10
-11.118 1.426 5.439 10
-11.001 1.149 5.442 11
-10.795 0.909 5.456 10
-10.56 0.79 5.571 11
-10.108 0.715 5.612 8
-9.801 0.799 5.549 10
-9.433 0.926 5.394 10
-8.944 1.206 5.255 11
-8.674 1.441 5.19 10
-8.13 1.742 5.329 10
-7.374 2.178 5.54 9
-6.737 2.461 5.734 10
-5.75 3.191 6.062 11
-5.037 3.854 6.186 9
-4.769 4.371 6.469 10
-4.735 4.896 6.9 10
-5.051 4.972 7.196 11
-5.494 4.934 7.635 10
-5.856 4.826 7.924 10
-5.904 4.805 8.078 10
-5.758 5.212 8.013 9
-5.485 5.734 7.807 10
-5.109 5.916 7.41 11
-4.817 5.446 7.015 9
-4.718 4.548 6.837 10
-4.764 3.043 6.679 10
-4.912 1.877 6.713 10
-5.511 0.442 6.823 11
-6.627 -1.845 6.789 9
-7.599 -3.526 6.737 10
-8.564 -4.924 6.495 11
-9.074 -5.497 6.162 9
-9.047 -4.405 5.901 10
-8.927 -3.433 5.643 10
-8.815 -2.743 5.573 10
-8.362 -1.922 5.408 10
-7.747 -1.968 5.171 10
-7.225 -1.893 4.932 11
-6.909 -2.097 4.539 9
-6.933 -2.432 4.242 10
