# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
6.299 5.743 3.931 0.000
6.323 5.762 3.909 10.000
6.335 5.777 3.861 10.000
6.361 5.801 3.933 10.000
6.428 5.726 3.866 9.000
6.387 5.609 3.756 10.000
6.344 5.504 3.660 10.000
6.251 5.544 3.703 10.000
6.105 5.693 3.859 10.000
6.107 5.901 4.201 10.000
6.198 6.004 4.460 10.000
6.339 5.961 4.580 11.000
6.356 5.815 4.316 9.000
6.320 5.607 3.849 11.000
6.184 5.544 3.567 9.000
6.129 5.571 3.663 10.000
6.198 5.700 4.141 10.000
6.282 5.906 4.644 10.000
6.370 6.004 4.795 10.000
6.378 6.014 4.568 10.000
6.356 5.901 4.237 10.000
6.320 5.712 3.883 10.000
6.313 5.588 3.847 11.000
6.394 5.504 3.849 10.000
6.505 5.542 3.955 10.000
6.545 5.691 4.316 10.000
6.564 5.841 4.611 10.000
6.452 5.861 4.805 10.000
6.366 5.753 4.627 10.000
6.349 5.535 4.194 10.000
6.263 5.489 3.981 10.000
5.856 5.585 4.625 10.000
5.422 5.808 5.640 10.000
4.788 5.949 6.653 10.000
4.223 5.918 7.445 9.000
4.309 5.925 6.902 11.000
4.539 6.121 6.026 10.000
4.970 6.399 5.152 9.000
5.209 6.567 4.584 11.000
5.161 6.646 4.558 10.000
4.989 6.342 5.257 10.000
5.104 6.023 5.595 10.000
5.410 5.815 5.626 10.000
5.676 5.686 5.408 10.000
5.923 5.750 4.797 10.000
5.671 5.738 4.687 10.000
5.288 5.683 4.747 10.000
4.946 5.549 5.056 10.000
4.608 5.628 5.518 10.000
4.678 5.750 5.849 10.000
4.879 5.916 6.009 10.000
5.195 5.959 6.227 10.000
5.506 5.789 6.291 10.000
5.729 5.729 6.356 10.000
5.937 5.631 6.236 9.000
6.030 5.655 6.059 11.000
5.832 5.602 6.174 10.000
5.525 5.487 6.282 9.000
5.118 5.533 6.536 11.000
4.467 5.336 6.799 10.000
4.108 5.216 6.770 10.000
2.116 4.060 7.077 10.000
-0.986 0.205 9.753 10.000
-3.845 -3.406 12.421 10.000
-4.424 -5.868 12.114 10.000
-3.371 -7.292 11.473 10.000
1.161 -3.883 6.313 10.000
5.614 0.543 1.235 10.000
7.788 3.818 -0.869 10.000
9.607 7.606 -5.027 10.000
9.174 9.136 -7.000 10.000
8.295 10.737 -4.967 10.000
7.017 13.290 -1.170 10.000
6.093 15.330 4.680 10.000
5.865 17.068 11.022 9.000
5.997 16.778 13.031 11.000
6.528 15.538 13.275 10.000
6.931 14.688 14.214 9.000
