# Accelerometer Data File
# Started @Mon Apr 26 10:31:04 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
3.955 6.457 5.808 0
4.024 6.533 5.621 9
4.034 6.557 5.552 10
3.998 6.627 5.492 11
3.981 6.54 5.58 9
4.065 6.459 5.578 10
4.209 6.43 5.458 10
4.388 6.394 5.377 10
4.52 6.339 5.406 11
4.551 6.279 5.525 9
4.637 6.138 5.717 10
4.687 6.004 5.87 10
4.805 5.887 5.997 10
4.912 5.762 6.177 11
4.965 5.719 6.284 9
5.001 5.676 6.507 10
4.975 5.669 6.675 10
4.9 5.604 6.933 10
4.838 5.42 7.273 11
4.793 5.236 7.498 9
4.745 4.939 7.752 10
4.788 4.594 7.845 10
4.819 4.369 7.857 10
4.465 3.852 7.817 11
4.113 3.447 7.747 9
3.526 2.949 7.802 10
2.916 2.552 8.087 10
2.691 2.446 8.425 10
2.578 2.583 8.925 11
2.667 2.925 9.318 9
3.076 3.265 9.49 10
3.722 3.651 9.536 10
4.256 3.794 9.418 11
4.9 3.986 9.145 10
5.183 4.146 8.887 10
5.228 4.261 8.755 10
5.104 4.345 8.643 10
4.869 4.381 8.686 10
4.637 4.326 8.755 10
4.436 4.299 8.813 10
4.405 4.304 8.851 10
4.371 4.333 8.817 10
4.4 4.386 8.734 10
4.326 4.39 8.714 10
4.134 4.369 8.76 10
3.945 4.323 8.877 10
3.648 4.261 9.014 10
3.342 4.173 8.973 10
3.153 4.11 8.868 10
2.87 4.01 8.671 10
2.695 3.926 8.456 10
2.482 3.921 8.303 10
2.178 3.991 8.078 10
1.968 4.098 7.943 10
1.663 4.319 7.635 10
1.479 4.505 7.388 10
1.331 4.774 7.086 10
1.067 5.176 6.842 10
0.897 5.465 6.773 10
0.56 5.868 6.713 10
0.126 6.212 6.754 10
-0.191 6.423 6.737 10
-0.574 6.734 6.71 10
-0.79 6.933 6.675 10
-0.897 7.108 6.6 9
-1.015 7.323 6.459 10
-1.067 7.438 6.327 10
-1.096 7.611 6.217 10
-1.082 7.709 6.172 11
-1.127 7.802 6.268 9
-1.221 7.841 6.392 10
-1.338 7.821 6.495 10
-1.426 7.706 6.55 10
-1.446 7.556 6.531 11
-1.412 7.335 6.347 9
-1.352 7.079 6.088 10
-1.321 6.919 5.877 10
-1.242 6.799 5.643 10
-1.156 6.813 5.549 11
-1.096 6.864 5.53 9
-1.096 6.926 5.554 10
-1.144 6.947 5.602 11
-1.235 7.01 5.616 9
-1.319 7.113 5.58 11
-1.343 7.204 5.501 10
-1.395 7.278 5.434 9
-1.417 7.302 5.396 11
-1.541 7.273 5.415 9
-1.824 7.261 5.461 11
-2.078 7.266 5.494 9
-2.377 7.216 5.511 10
-2.561 7.084 5.506 10
-2.588 6.936 5.475 10
-2.597 6.876 5.386 11
-2.561 6.871 5.315 9
-2.523 7.074 5.193 10
-2.442 7.287 5.097 10
-2.377 7.412 5.058 10
-2.305 7.474 5.042 11
-2.255 7.422 5.09 9
-2.267 7.23 5.037 10
-2.293 7.019 4.946 10
-2.327 6.871 4.833 10
-2.434 6.816 4.829 11
-2.602 6.849 4.994 10
-2.755 6.902 5.197 10
-2.923 6.825 5.377 10
-3.016 6.655 5.449 10
-2.995 6.495 5.324 10
-2.954 6.366 5.286 10
-2.899 6.366 5.272 10
-2.949 6.366 5.339 10
-3.035 6.397 5.506 10
-3.303 6.485 5.588 10
-3.722 6.622 5.662 10
-4.036 6.758 5.655 10
-4.541 6.794 5.748 10
-5.008 6.742 5.99 10
-5.324 6.641 6.239 10
-5.714 6.466 6.567 10
-5.913 6.392 6.794 10
-6.009 6.275 6.979 10
-6.191 6.2 7.22 10
-6.299 6.2 7.383 10
-6.38 6.117 7.551 10
-6.44 6.076 7.613 10
-6.299 5.841 7.486 10
-6.198 5.442 7.457 10
-6.124 5.125 7.424 10
-6.282 4.733 7.371 10
-6.442 4.505 7.383 10
-6.562 4.443 7.297 10
-6.859 4.278 7.149 10
-6.924 4.189 7.019 10
-7.0 3.981 6.888 10
-7.24 3.775 6.56 10
-7.302 3.672 6.294 10
-7.386 3.545 6.133 10
-7.57 3.524 6.042 10
-7.606 3.378 6.16 10
-7.618 3.117 6.22 10
-7.608 2.88 6.174 10
-7.489 2.664 6.098 10
-7.362 2.609 5.997 10
-7.259 2.669 5.954 10
-7.077 2.772 5.841 10
-7.005 2.853 5.76 10
-6.983 2.832 6.083 10
-7.012 2.885 6.502 10
-7.12 2.894 6.991 10
-6.725 3.134 7.285 10
-6.272 3.438 7.187 10
-5.647 3.727 7.048 10
-5.19 3.964 7.132 10
-5.236 3.971 7.41 10
-5.236 4.046 7.809 10
-5.212 4.039 8.14 10
-5.02 4.084 8.248 10
-4.704 4.165 8.365 10
-4.434 4.18 8.36 10
-4.264 4.175 8.41 10
-3.952 4.283 8.599 10
-3.766 4.355 8.779 10
-3.454 4.51 9.078 10
-3.189 4.707 9.337 10
-3.007 4.92 9.531 10
-2.873 5.037 9.825 10
-2.863 5.07 10.0 10
-2.76 5.035 10.139 10
-2.549 5.003 10.228 10
-2.291 5.068 10.216 10
-1.831 5.329 10.232 10
-1.465 5.659 10.285 10
-1.11 5.892 10.273 10
-0.881 6.028 10.261 10
-0.852 5.968 10.22 10
-0.725 6.042 10.326 10
-0.751 6.081 10.472 10
-0.438 6.351 10.309 10
-0.043 6.397 9.773 10
0.253 6.308 9.09 10
0.359 5.753 7.963 10
0.248 5.061 7.144 10
-0.213 4.144 6.332 10
-0.663 2.686 5.758 10
-0.921 1.695 5.628 10
-1.486 -0.263 6.117 10
-2.08 -2.303 7.249 10
-2.686 -3.801 8.145 10
-3.105 -4.357 8.743 10
-3.217 -3.945 8.724 10
-2.537 -1.505 7.92 10
-1.814 1.362 6.909 10
-1.278 3.287 6.196 10
-1.12 4.479 5.671 10
-1.561 3.464 5.987 10
-2.044 2.02 6.509 10
-2.815 0.373 7.606 10
-3.208 -0.541 8.513 10
-3.593 -0.483 9.323 10
-3.955 -0.32 10.469 10
-4.029 0.045 11.042 10
-3.971 0.241 11.595 10
-3.816 0.177 11.913 10
-3.469 -0.21 11.762 10
-2.75 -0.519 11.473 10
-2.164 -0.658 11.202 10
-1.45 -0.802 10.658 10
-0.952 -0.727 10.247 10
-0.737 -0.763 9.943 10
-0.646 -0.993 9.696 10
-0.682 -1.218 9.722 10
-0.727 -1.398 9.627 10
-1.209 -1.589 9.61 10
-1.565 -1.587 9.536 10
-1.85 -1.357 9.476 10
-2.126 -1.173 9.538 10
-1.951 -0.713 9.562 10
-1.872 -0.22 9.818 10
-1.865 0.045 10.06 10
-1.697 0.335 10.359 10
-1.632 0.392 10.649 10
-1.338 0.464 10.682 10
-0.845 0.586 10.539 10
-0.512 0.684 10.338 10
-0.225 0.667 10.065 10
0.251 0.632 9.761 10
0.529 0.545 9.634 10
0.988 0.538 9.406 10
1.493 0.646 9.251 10
1.606 0.742 9.045 10
1.807 0.811 8.786 10
1.826 0.802 8.628 10
1.929 0.749 8.513 10
2.102 0.679 8.504 10
2.063 0.541 8.566 10
2.102 0.488 8.588 10
2.056 0.478 8.566 10
1.996 0.507 8.657 10
1.829 0.61 9.112 10
1.584 0.627 9.607 10
1.453 0.72 10.093 10
1.335 0.775 10.467 10
1.58 0.981 10.472 10
1.766 0.974 10.582 10
1.841 0.89 10.702 10
2.147 0.907 10.687 10
2.322 0.794 10.658 10
2.561 0.864 10.455 10
2.841 0.785 10.251 10
2.889 0.605 10.182 10
3.007 0.421 10.149 10
3.244 0.253 10.096 10
3.44 0.234 10.043 10
3.914 0.311 9.816 11
4.319 0.392 9.552 9
4.651 0.486 9.301 10
5.02 0.531 8.997 10
5.111 0.481 8.868 10
5.19 0.435 8.705 10
5.214 0.392 8.619 10
5.207 0.361 8.549 10
5.267 0.234 8.446 10
5.339 0.102 8.377 10
5.535 0.026 8.226 10
5.714 0.21 7.991 10
5.827 0.49 7.79 10
5.968 0.746 7.544 10
5.985 0.948 7.378 10
6.045 0.797 7.268 10
6.138 0.577 7.18 10
6.203 0.38 7.137 10
6.294 0.079 7.065 10
6.354 -0.095 7.058 10
6.576 -0.213 6.885 10
6.981 -0.347 6.5 10
7.359 -0.375 6.143 10
7.79 -0.447 5.691 10
8.073 -0.629 5.267 10
8.173 -0.794 5.056 10
8.317 -0.962 4.668 10
8.408 -1.086 4.376 10
8.343 -1.017 4.067 10
8.152 -0.888 3.72 10
7.917 -0.756 3.55 10
7.505 -0.593 3.45 10
7.201 -0.502 3.481 10
6.964 -0.471 3.517 10
6.708 -0.457 3.572 10
6.629 -0.474 3.557 10
6.44 -0.624 3.634 10
6.311 -0.775 3.744 10
